32.152 chr3R:17391401-17392400 CG15498 (3970) CG7956;slou;CG15498;InR;InR; 0 1 2 3 2 
22.984 chr3R:18222117-18223116 CG13857 (-1791) CG7059;CG7059;CG13857;CG13856;CG13855; 0 0 3 0 3 
18.7664 chr3L:9513402-9514401 CG33700 (5742) CG33703;CG33702;CG33700;Or67a;Ir67a; 0 3 0 2 0 
18.5173 chr2L:15457597-15458596 NA (>10000) wor;CG4161;sna;Tim17b2;lace; 1 2 1 1 0 
18.2682 chr3R:10415092-10416091 stumps (3593) CG7987;stumps;stumps;stumps;CG14853; 2 1 2 0 0 
16.7247 chrX:8657788-8658787 NA (>10000) l(1)G0020;CG1789;Lim1;CG12075;CG12075; 0 0 1 2 1 
16.5651 chr3L:742414-743413 CG13897 (-2794) CG13896;CG13896;CG13897;emc;CG13898; 0 4 1 0 0 
16.1868 chrX:9263422-9264421 NA (>10000) CG34449;CG34449;BCL7-like;Megalin;Megalin; 1 1 0 2 0 
16.1717 chr2L:15482162-15483161 Tim17b2 (3106) CG4161;sna;Tim17b2;lace;CG42448; 0 5 0 0 0 
15.584 chr2R:6815944-6816943 NA (>10000) CG12943;Obp47a;Spn47C;Spn47C;CG43188; 1 0 1 0 2 
15.5443 chrX:6140447-6141446 CG14445 (-8597) CG14446;CG14445;Rbcn-3A;Spx;CG3781; 2 1 0 1 0 
15.2952 chr3R:12543565-12544564 NA (>10000) Ubx;Ubx;Ubx;CG31275;CG31275; 3 0 1 0 0 
14.7848 chr3R:2759790-2760789 Antp (-728) Antp;Antp;Antp;Antp;Antp; 1 1 1 0 1 
14.7848 chr2R:18918263-18919262 NA (>10000) CG9897;CG9896;CG42741;twi;twi; 1 1 1 0 1 
14.5235 chr3R:8594597-8595596 beat-Vc (9777) CG5724;CG5999;beat-Vc;CG31345;beat-Va; 0 1 2 0 1 
14.3913 chr2R:16080226-16081225 NA (>10000) 18w;CG11041;CG16894;CG11044;CG11099; 1 2 0 0 1 
14.3791 chr2R:8612182-8613181 NA (>10000) CG8768;CG12442;CG42663;mos;Taz; 1 1 2 0 0 
14.3791 chr3R:25360519-25361518 NA (>10000) Trc8;Trc8;CG2014;Dr;CG7567; 1 1 2 0 0 
14.2469 chr3L:1644082-1645081 alphaCop (1641) metl;Bgb;alphaCop;alphaCop;CG13919; 2 2 0 0 0 
14.2347 chrX:8631559-8632558 NA (>10000) CG1785;l(1)G0020;CG1789;Lim1;CG12075; 0 3 0 1 0 
14.2347 chr3L:8266851-8267850 NA (>10000) CG7213;Dscam4;cert;CG7201;Rab-RP3; 0 3 0 1 0 
14.13 chr3R:26574177-26575176 Npc2h (-1667) Npc2g;Npc2h;Npc2h;zfh1;zfh1; 0 2 1 0 1 
14.13 chr3R:10263684-10264683 NA (>10000) soti;cv-c;CG34388;cv-c;cv-c; 0 2 1 0 1 
13.9856 chr3L:5617016-5618015 Blimp-1 (7567) mthl2;Eaf6;Blimp-1;lin-28;Sse; 1 2 1 0 0 
13.9856 chr3R:24023367-24024366 NA (>10000) CG34362;CG34354;CG34354;CG43125;CG43124; 1 2 1 0 0 
13.9856 chr3R:19211988-19212987 CG4393 (-989) CG42827;CG42828;CG4393;CG31515;Ir94d; 1 2 1 0 0 
13.9856 chr3L:10438999-10439998 NA (>10000) CG12362;Ir67b;Ir67c;Gem3;CG32061; 1 2 1 0 0 
13.7365 chr3R:7224447-7225446 mRpL40 (9672) KP78b;pros;mRpL40;CG6719;Irbp; 0 3 0 0 1 
13.7243 chr3R:22469412-22470411 TwdlD (-3164) TwdlR;TwdlS;TwdlD;Tb;beat-VII; 0 2 2 0 0 
13.5921 chr2L:5881456-5882455 CG8965 (-1475) CG34381;CG34381;CG8965;Sfp26Ac;CG43185; 1 3 0 0 0 
13.5921 chrX:9818880-9819879 Idgf4 (6632) CG15249;CG1986;Idgf4;CG1791;CG1889; 1 3 0 0 0 
13.3308 chr2R:14111883-14112882 fj (8885) CG33958;CG30114;fj;Ote;pen-2; 0 3 1 0 0 
13.3308 chr3R:13093163-13094162 NA (>10000) beat-IIb;beat-IIb;CG31418;CG31419;beat-IIa; 0 3 1 0 0 
13.3308 chr2L:16057115-16058114 beat-Ia (-6620) BicC;BicC;beat-Ia;CG4891;CG4892; 0 3 1 0 0 
13.3308 chr2R:20987536-20988535 CG16778 (-348) gol;CG16778;CG16778;CG30430;CG43106; 0 3 1 0 0 
