Tnnc2	2	164605230	164607229
Six4	12	74214404	74216403
Ddx3y	Y	623021	625020
Myh3	11	66889802	66891801
Myl1	1	66991607	66993606
Tnnc1	14	32020012	32021503
Myog	1	136184566	136186565
Acta1	8	126418652	126420651
Mylpf	7	134353122	134355121
Mybph	1	136088025	136090024
Atp2a1	7	133606619	133608618
Ifitm3	7	148196613	148198612
Eno3	11	70468706	70470705
Cdkn1a	17	29225924	29227923
Myo5b	18	74600259	74602258
Crym	7	127345503	127347475
Myl4	11	104411934	104411976
Itgb1bp2	X	98643929	98644472
Nrk	X	135446970	135448969
Casq2	3	101888465	101890464
Actc1	2	113878548	113880547
Hmx1	5	35731125	35731765
Myf6	10	106931794	106933793
Rgs4	1	171677774	171679773
Fabp4	3	10208577	10210576
Ttn	2	76820605	76822604
Myf5	10	106923191	106925190
2310005E10Rik	6	34332281	34334280
Tnnt3	7	149682741	149684740
Nr4a1	15	101095284	101097283
