chrom start stop motif_index:position(0-based)
3R 17391401 17392400 3:20 5:764 4:860 4:870 4:880 2:900 3:941 5:971 
3R 18222117 18223116 5:164 3:175 3:434 5:445 3:815 5:826 
3L 9513402 9514401 2:276 4:329 4:398 2:609 2:714 
2L 15457597 15458596 1:88 2:109 3:248 2:252 4:902 
3R 10415092 10416091 1:376 2:512 3:520 3:603 1:614 
X 8657788 8658787 5:108 4:816 4:832 3:883 
3L 742414 743413 2:68 2:393 2:448 2:918 3:922 
X 9263422 9264421 4:105 4:168 2:666 1:885 
2L 15482162 15483161 2:15 2:232 2:285 2:906 2:976 
2R 6815944 6816943 1:167 5:186 3:684 5:824 
X 6140447 6141446 1:107 2:529 1:652 4:884 
3R 12543565 12544564 1:165 1:506 1:543 3:826 
3R 2759790 2760789 1:214 2:738 3:749 5:776 
2R 18918263 18919262 1:129 5:740 3:857 2:861 
3R 8594597 8595596 3:399 3:425 5:520 2:591 
2R 16080226 16081225 2:60 1:626 2:851 5:931 
2R 8612182 8613181 1:47 3:116 3:126 2:944 
3R 25360519 25361518 3:285 2:289 1:478 3:706 
3L 1644082 1645081 1:307 1:353 2:489 2:684 
X 8631559 8632558 2:288 2:327 4:351 2:702 
3L 8266851 8267850 4:294 2:665 2:683 2:697 
3R 26574177 26575176 3:176 5:185 2:398 2:814 
3R 10263684 10264683 5:285 2:646 3:702 2:706 
3L 5617016 5618015 2:214 2:588 1:634 3:777 
3R 24023367 24024366 2:371 2:450 3:547 1:620 
3R 19211988 19212987 1:403 2:448 3:471 2:588 
3L 10438999 10439998 2:91 1:243 2:841 3:899 
3R 7224447 7225446 5:217 2:269 2:281 2:774 
3R 22469412 22470411 3:6 2:478 3:598 2:985 
2L 5881456 5882455 2:231 2:249 2:261 1:759 
X 9818880 9819879 2:50 1:88 2:297 2:941 
2R 14111883 14112882 2:158 2:492 3:829 2:833 
3R 13093163 13094162 2:161 2:512 3:806 2:830 
2L 16057115 16058114 3:204 2:264 2:735 2:786 
2R 20987536 20988535 2:318 3:322 2:514 2:673 
2L 5363287 5364286 4:80 4:153 1:910 
3R 11947600 11948599 2:178 2:226 2:667 2:813 
2R 4951258 4952257 2:407 2:560 2:572 2:584 
2R 18137373 18138372 5:333 5:425 4:658 
3R 1542062 1543061 4:427 5:483 1:563 
3R 19740413 19741412 5:113 1:374 4:878 
2L 12630941 12631940 1:240 4:742 1:750 
2R 3567087 3568086 4:274 2:333 4:716 
2L 9809574 9810573 2:443 4:466 4:547 
2R 16076956 16077955 2:218 4:731 4:772 
3L 11287119 11288118 3:152 4:363 1:838 
3R 19299444 19300443 3:198 1:701 4:793 
3R 15593519 15594518 1:319 5:547 5:672 
3R 19725842 19726841 1:380 5:388 5:610 
X 13814163 13815162 1:293 1:311 5:698 
2R 12720109 12721108 1:329 1:363 5:661 
3R 3993299 3994298 1:353 1:499 5:638 
2R 3927327 3928326 4:233 5:691 2:757 
3L 10250992 10251991 2:83 4:90 5:907 
3R 25372204 25373203 4:40 5:113 2:950 
3L 17160140 17161139 5:231 4:516 2:759 
3R 25348774 25349773 4:97 5:412 2:893 
3R 13309701 13310700 2:63 4:68 5:927 
3R 1208204 1209203 3:227 4:445 3:764 
2R 6098067 6099066 3:164 3:519 4:827 
2R 19763025 19764024 1:105 1:845 1:886 
3R 24436164 24437163 1:192 1:298 1:799 
3R 5305737 5306736 1:176 1:766 1:815 
2R 5665447 5666446 1:424 1:554 1:567 
2L 2196159 2197158 2:316 4:430 1:675 
2L 3601303 3602302 4:67 2:199 1:923 
3L 15447113 15448112 2:323 4:646 1:667 
2L 7975303 7976302 2:165 4:680 1:826 
3L 1691248 1692247 1:133 4:844 2:858 
2L 12843443 12844442 2:91 1:255 4:900 
3R 26086509 26087508 1:100 2:351 4:890 
3R 20319413 20320412 1:265 3:536 5:726 
3R 10292982 10293981 1:221 3:249 5:769 
2R 7904739 7905738 3:271 1:641 5:719 
2R 7378205 7379204 5:154 1:764 3:837 
3L 382882 383881 3:105 5:864 1:885 
3R 12536546 12537545 5:391 3:427 1:600 
2R 12396456 12397455 1:182 3:285 1:809 
2L 6730463 6731462 1:438 1:454 3:553 
3L 994658 995657 1:465 3:473 1:525 
2L 7915376 7916375 3:66 1:807 1:924 
3R 27437323 27438322 3:108 1:846 1:882 
3R 17226861 17227860 3:248 1:724 1:743 
3L 9566980 9567979 4:133 3:544 2:857 
3R 11242468 11243467 2:422 3:431 4:569 
3R 4203146 4204145 2:240 3:650 4:751 
3R 21831532 21832531 4:284 3:702 2:706 
3R 26498221 26499220 4:102 3:704 2:889 
2L 6743372 6744371 4:419 2:567 3:571 
3R 23979879 23980878 4:97 3:138 2:894 
3R 6431577 6432576 5:21 2:835 5:970 
2R 11629920 11630919 2:249 5:663 5:741 
X 18278163 18279162 3:261 3:660 5:729 
3R 6339753 6340752 3:64 3:77 5:927 
3L 5845167 5846166 5:289 3:338 3:701 
3L 3660747 3661746 5:51 3:59 3:940 
2L 13429396 13430395 5:433 3:526 3:558 
2R 14930099 14931098 5:76 3:900 3:914 
2L 17644117 17645116 2:450 5:533 1:540 
3L 10298952 10299951 5:193 1:595 2:798 
3R 23976454 23977453 2:156 1:381 5:834 

